category,institution,location,role,period,details
academic,Micro Institute of Technology (MIT),"Dhaka, Bangladesh",Lecturer,March 2018 – October 2019,"Taught undergraduate courses including C Programming, Python, Java, Web Design, Data Structures & Algorithms, Multimedia & Graphics, Embedded Systems & PLC, Computer Architecture, and Database Management Systems | Conducted laboratory sessions and delivered both theoretical and practical training to enhance students' technical skills | Supervised final-year projects for Diploma in Computer Technology students, providing guidance in project design, implementation, and reporting"
academic,San Aibin Artificial Intelligent Education,China,Part-time Teacher,February 2021 – December 2021,"Taught computer science curriculum in English to students aged 12–18, adapting lessons to diverse learning needs | Co-taught with Chinese teachers and contributed to the development and improvement of school-based curriculum | Assessed and monitored student progress, setting clear learning targets to support academic improvement"
industrial,Aeinnovation Energy,Italy,Applied ML Engineer,June 2023 – Ongoing,"Developed AI-driven predictive models integrating indoor and outdoor environmental features to forecast indoor temperature and occupancy, enhancing energy efficiency and thermal comfort | Optimized models through pruning and quantization for lightweight edge-cloud deployment, enabling real-time predictions with low computational cost | Introduced a Digital Twin framework for a dynamic, adaptive approach to indoor temperature forecasting"
industrial,ICAR-CNR (Italian National Research Council),Italy,Research Assistant,January 2022 – Ongoing,"Focused on indoor temperature and occupancy prediction, validating deep learning models for accuracy and reliability | Explored the Digital Twin paradigm to build a virtual representation of the environment, enhancing real-time monitoring, simulation, and predictive analysis"
industrial,"Zhejiang Seating Technology Co., Ltd",China,Data Analysis,June 2022 – December 2022,"Supported data and analytics efforts to align with business goals, including defining business problems and determining suitable analytical approaches | Extracted relevant data and applied statistical and data analysis techniques | Analyzed customer performance using CSV files to derive actionable insights"
industrial,"Zhejiang Linxin Smart Home Co., Ltd.",China,Data Analyst,December 2021 – June 2022,Performed web scraping and managed international platforms including Alibaba and Amazon | Conducted SEO and digital marketing activities to support business growth and customer satisfaction
industrial,Crown Hospital,Bangladesh,IT Assistant,February 2016 – January 2018,"Managed LAN infrastructure and conducted attendance sheet checkups | Prepared reports and maintained the web server | Handled router configuration, camera systems, and other IT support duties"
